concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Cpe Lyon Chimie Â€“ Génie Des Procédés										39	61.5	25.6	2666	2524	40
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ecpm - Esbs Strasbourg - Chembiotech										6	66.7	16.7	826	842	5
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ecpm Strasbourg										40	65.0	22.5	1381	1324	45
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensc Lille										42	61.9	21.4	1848	1717	40
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensc Montpellier										58	55.2	8.6	797	795	60
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensc Mulhouse										32	59.4	12.5	2045	1947	30
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensc Rennes										32	50.0	28.1	2244	2148	40
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensi Poitiers - Génie De L'Eau Et Génie Civil										24	41.7	20.8	3051	2885	21
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Ensicaen Mat. Et Chimie										29	69.0	24.1	2590	2573	30
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Lorraine Inp - Ensic										48	41.7	12.5	2302	2176	50
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Sigma Clermont-Ferrand - Spécialité Chimie										37	70.3	24.3	2457	2329	36
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Toulouse Inp - Ensiacet - Chimie										29	51.7	20.7	1383	1375	29
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Toulouse Inp - Ensiacet - Génie Chimique										34	61.8	23.5	1823	1800	32
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Toulouse Inp - Ensiacet - Matériaux										28	32.1	32.1	2100	2025	30
Ccinp : Ecoles Recrutant Sur Le Concours Chimie	Concours_Ccinp_Pc_Chimie	4531	38.0	21.0				3460	37.6	22.1	516					530
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Céramique Industrielle										12	50.0	25.0	1994	1905	45
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Ee										11	36.4	54.5	1707	1644	28
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Elt										4	25.0	0.0	1726	1611	28
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Matériaux										14	42.9	42.9	1658	1499	22
Banque Epreuves Ccinp  Inter-Filière	Ensil - Ensci Limoges Mécatronique										1	0.0	0.0	1180	1134	22
Banque Epreuves Ccinp  Inter-Filière	Concours_Ensil_Ensci_Inter_Fil.	971	46.3	18.6				768	47.5	20.2	42					145
Banque Epreuves Ccinp  Inter-Filière	Grenoble Inp - Génie Industriel	1154	36.9	20.1				450	33.1	23.1	3	0.0	66.7	1520	1440	76
Banque Epreuves Ccinp  Inter-Filière	Lorraine Inp - Eeigm	497	51.5	19.1				265	54.0	18.9	3	0.0	0.0	456	438	10
Banque Epreuves Ccinp  Inter-Filière	Lorraine Inp - Ensgsi	687	43.7	18.9				483	44.3	21.3	6	50.0	33.3	1210	1101	38
Banque Epreuves Ccinp	Ecole De L'Air Base	555	26.5	24.9				94	20.2	51.1	2	0.0	0.0	43	43	2
