concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
concours_polytech_inter_filière	esiab_brest										0	0.0	0.0	4001*	3843*	3*	
concours_polytech_inter_filière	esipe_créteil_génie_biomédical_et_santé_(isbs)										3	100.0	0.0	3586*	3328*	10*	
concours_polytech_inter_filière	esipe_créteil_système_d'information										2	50.0	0.0	4356*	4304*	3*	
concours_polytech_inter_filière	esipe_créteil_technologie_pour_la_santé										0	0.0	0.0	4338*	4338*	3*	
concours_polytech_inter_filière	esir_rennes										6	33.3	16.7	3782*	3070*	20*	
concours_polytech_inter_filière	esirem_dijon										1	0.0	0.0	4120*	3927*	4*	
concours_polytech_inter_filière	esiroi_saint_denis_de_la_réunion										0	0.0	0.0	0*	0*	3*	
concours_polytech_inter_filière	esix_normandie_caen_cherbourg										1	0.0	0.0	4152*	4152*	4*	
concours_polytech_inter_filière	isat_nevers_département_mit_(mécanique_et_ingénierie_des transports)										0	0.0	0.0	1345*	1328*	5*	
concours_polytech_inter_filière	isat_nevers_département_epee_(energies_et_moteurs)										3	0.0	33.3	3141*	3085*	12*	
concours_polytech_inter_filière	isat_nevers_infrastructures_et_réseaux_de_transports										2	50.0	50.0	3522*	3381*	4*	
concours_polytech_inter_filière	isifc_besanã§on_génie_biomédical										4	50.0	25.0	1942*	1927*	6*	
concours_polytech_inter_filière	istia_angers										3	0.0	0.0	2756*	2673*	6*	
concours_polytech_inter_filière	isty_vélizy										1	100.0	0.0	3785*	3785*	3*	
concours_polytech_inter_filière	polytech_annecy_chambéry_environnement,_bâtiment,_ã‰nergie										7	28.6	0.0	3897*	3688*	16*	
concours_polytech_inter_filière	polytech_annecy_chambéry_informatique_données_usages										2	0.0	0.0	3499*	3214*	4*	
concours_polytech_inter_filière	polytech_annecy_chambéry_instrumentation,_automatique, informatique										2	50.0	0.0	3945*	3959*	4*	
concours_polytech_inter_filière	polytech_annecy_chambéry_mécanique,_matériaux										2	50.0	50.0	3437*	3388*	8*	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_biologique										0	0.0	0.0	2681*	2698*	5*	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_civil										9	55.6	11.1	3787*	3316*	16*	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_electrique										2	0.0	0.0	4083*	3977*	5*	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_mathématique_et_modélisation										11	18.2	18.2	3434*	3298*	14*	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_physique										1	0.0	100.0	3811*	3625*	8*	
concours_polytech_inter_filière	polytech_grenoble_géotechnique_et_génie_civil										1	0.0	0.0	3055*	3198*	6*	
concours_polytech_inter_filière	polytech_grenoble_matériaux										3	33.3	33.3	2522*	2642*	6*	
concours_polytech_inter_filière	polytech_grenoble_prévention_des_risques										2	50.0	0.0	3568*	3136*	6*	
concours_polytech_inter_filière	polytech_grenoble_informatique_et_électronique_des_systèmes embarqués										2	0.0	50.0	2079*	2044*	5*	
concours_polytech_inter_filière	polytech_grenoble_informatique										9	22.2	11.1	2535*	2377*	8*	
concours_polytech_inter_filière	polytech_grenoble_technologies_de_l'information_pour_la_santé										5	100.0	0.0	3166*	2824*	5*	
concours_polytech_inter_filière	polytech_lille_génie_biologique_et_alimentaire										0	0.0	0.0	1370*	1630*	4*	
concours_polytech_inter_filière	polytech_lille_génie_informatique_et_statistique										6	0.0	16.7	2336*	2269*	10*	
concours_polytech_inter_filière	polytech_lille_géotechnique,_génie_civil										2	0.0	0.0	2583*	2543*	10*	
concours_polytech_inter_filière	polytech_lille_informatique,_microélectronique,_automatique										3	0.0	0.0	2090*	1761*	6*	
concours_polytech_inter_filière	polytech_lille_ingénierie_et_commercialisation_des_systèmes_de mesure										4	75.0	0.0	4011*	3938*	5*	
concours_polytech_inter_filière	polytech_lille_matériaux										2	0.0	0.0	3467*	3180*	8*	
concours_polytech_inter_filière	polytech_lille_mécanique										5	20.0	20.0	2380*	2378*	10*	
concours_polytech_inter_filière	polytech_lyon_génie_biomédical										2	100.0	0.0	1516*	1565*	4*	
concours_polytech_inter_filière	polytech_lyon_informatique										3	33.3	0.0	2378*	2376*	4*	
concours_polytech_inter_filière	polytech_lyon_matériaux										0	0.0	0.0	1439*	1465*	4*	
concours_polytech_inter_filière	polytech_lyon_mathématiques_appliquées_et_modélisation										0	0.0	0.0	1346*	1378*	4*	
concours_polytech_inter_filière	polytech_lyon_mécanique										1	100.0	0.0	1039*	885*	4*	
concours_polytech_inter_filière	polytech_lyon_systèmes_industriels,_robotique										2	0.0	50.0	2536*	2557*	4*	
concours_polytech_inter_filière	polytech_marseille_génie_biomédical										2	50.0	50.0	3152*	2689*	9*	
