ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ENSIL_-_ENSCI_Limoges_ELT										13	7.7	0.0	1726*	1611*	28*	
ENSIL_-_ENSCI_Limoges_Matériaux										4	0.0	0.0	1658*	1499*	22*	
ENSIL_-_ENSCI_Limoges_Mécatronique										12	16.7	41.7	1180	1134	22*	
Concours ENSIL-ENSCI Inter Fil.	1102	29.9	15.0				835	28.9	14.1	39					145	
Grenoble_INP_-_Génie_Industriel	1655	27.7	17.8				941	24.2	20.9	31	25.8	41.9	1520	1440	76*	
Lorraine_INP_-_EEIGM	473	34.5	15.0				221	35.7	15.4	1	100.0	0.0	456	438	10*	
Lorraine_INP_-_ENSGSI	910	33.7	14.3				574	33.3	15.7	7	42.9	42.9	1210	1101	38*	
ECOLE_DE_L'AIR_Base	875	20.2	24.9				203	14.3	43.3	3	66.7	66.7	51	53	3	
ECOLE_DE_L'AIR_Méca	846	19.6	24.3				194	13.4	43.8	8	12.5	62.5	89	76	8	
ECOLE_DE_L'AIR_Pilote	929	19.2	23.3				231	16.5	35.5	23	4.3	73.9	32	31	23	
ENAC_Toulouse_-_ContrÃ´leurs_aériens	1055	25.7	21.0				175	33.7	26.9	37	32.4	40.5	48	48	39	
ENSISA_Mulhouse_Automatique_et_Systèmes_Embarqués										7	0.0	0.0	562	536	8	
ENSISA_Mulhouse_Informatique_et_réseaux										5	0.0	40.0	572	585	8	
ENSISA_Mulhouse_Mécanique										9	11.1	33.3	506	513	8	
ENSISA_Mulhouse_Textile_et_Fibres										4	25.0	0.0	713	685	4	
Concours ENSISA PSI	1236	29.4	15.0				821	26.7	14.6	25					28	
EOST_Strasbourg	592	33.8	14.4				388	34.8	14.9	5	40.0	0.0	292	263	3	
ESM_Saint-Cyr	860	16.7	25.3				112	9.8	54.5	36	5.6	50.0	66	61	36	
Lorraine_INP_-_ENSTIB	571	32.4	15.6				399	32.1	14.8	7	42.9	0.0	269	252	9	
ENSIBS_Lorient										3	33.3	0.0	3683*	3829*	16*	
ENSIM_Le_Mans										2	50.0	0.0	3935*	3901*	10*	
ESBS_Strasbourg										0	0.0	0.0	1347*	1236*	3*	
ESGT_le_Mans										3	33.3	33.3	3604*	3539*	15*	
ESI_Reims_-_Energetique										3	33.3	0.0	4594*	4463*	5*	
ESI_Reims_-_Génie_Urbain_et_Environnement										1	100.0	0.0	3093*	3036*	4*	
ESI_Reims_-_Packaging										1	100.0	0.0	4816*	4667*	6*	
ESIAB_Brest										0	0.0	0.0	4439*	4436*	4*	
ESIPE_Créteil_-_Génie_Biomédical_et_santé_(ISBS)										5	80.0	20.0	4596*	4059*	10*	
ESIPE_Créteil_-_Système_d'information										0	0.0	0.0	3733*	3807*	3*	
ESIPE_Créteil_-_Technologie_pour_la_santé										0	0.0	0.0	3723*	3724*	3*	
ESIR_Rennes										3	33.3	0.0	3835*	3540*	20*	
ESIREM_Dijon										1	100.0	100.0	3293*	3102*	5*	
ESIROI_Saint_Denis_de_La_Réunion										0	0.0	0.0	0*	0*	3*	
ESIX_Normandie_-_Caen_-_Cherbourg										2	50.0	100.0	4379*	4116*	4*	
ISAT_Nevers__-_département__MIT_(Mécanique_et_Ingénierie_des_Transports)										2	50.0	50.0	2228*	2054*	5*	
ISAT_Nevers__-_département_EPEE_(Energies_et_Moteurs)										5	20.0	0.0	3229*	3326*	12*	
ISAT_Nevers__-_Infrastructures_et_Réseaux_de_Transports										0	0.0	0.0	4695*	4575*	4*	
ISIFC_BesanÃ§on_-_Génie_Biomédical										1	100.0	100.0	3083*	2762*	8*	
ISTY_Vélizy										0	0.0	0.0	4192*	4125*	3*	
Polytech_Angers_Bâtiment_:_Exploitation,_Maintenance_et_Sécurité										1	0.0	0.0	4963*	4963*	2*	
