concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensc_rennes										32	50.0	28.1	2244	2148	40	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensi_poitiers_génie_de_l'eau_et_génie_civil										24	41.7	20.8	3051	2885	21	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	ensicaen_mat._et_chimie										29	69.0	24.1	2590	2573	30	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	lorraine_inp_ensic										48	41.7	12.5	2302	2176	50	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	sigma_clermont_ferrand_spécialité_chimie										37	70.3	24.3	2457	2329	36	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	toulouse_inp_ensiacet_chimie										29	51.7	20.7	1383	1375	29	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	toulouse_inp_ensiacet_génie_chimique										34	61.8	23.5	1823	1800	32	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	toulouse_inp_ensiacet_matériaux										28	32.1	32.1	2100	2025	30	
ccinp_:_ecoles_recrutant_sur_le_concours_chimie	Concours CCINP PC-Chimie	4531	38.0	21.0				3460	37.6	22.1	516					530	
banque_epreuves_ccinp_inter_filière	ensil_ensci_limoges_céramique_industrielle										12	50.0	25.0	1994	1905	45	
banque_epreuves_ccinp_inter_filière	ensil_ensci_limoges_ee										11	36.4	54.5	1707	1644	28	
banque_epreuves_ccinp_inter_filière	ensil_ensci_limoges_elt										4	25.0	0.0	1726	1611	28	
banque_epreuves_ccinp_inter_filière	ensil_ensci_limoges_matériaux										14	42.9	42.9	1658	1499	22	
banque_epreuves_ccinp_inter_filière	ensil_ensci_limoges_mécatronique										1	0.0	0.0	1180	1134	22	
banque_epreuves_ccinp_inter_filière	Concours ENSIL-ENSCI Inter Fil.	971	46.3	18.6				768	47.5	20.2	42					145	
banque_epreuves_ccinp_inter_filière	grenoble_inp_génie_industriel	1154	36.9	20.1				450	33.1	23.1	3	0.0	66.7	1520	1440	76	
banque_epreuves_ccinp_inter_filière	lorraine_inp_eeigm	497	51.5	19.1				265	54.0	18.9	3	0.0	0.0	456	438	10	
banque_epreuves_ccinp_inter_filière	lorraine_inp_ensgsi	687	43.7	18.9				483	44.3	21.3	6	50.0	33.3	1210	1101	38	
banque_epreuves_ccinp	ecole_de_l'air_base	555	26.5	24.9				94	20.2	51.1	2	0.0	0.0	43	43	2	
banque_epreuves_ccinp	ecole_de_l'air_méca	512	25.4	26.4				83	22.9	54.2	4	25.0	100.0	47	44	4	
banque_epreuves_ccinp	ecole_de_l'air_pilote	595	24.9	23.9				109	18.3	42.2	13	15.4	53.8	27	27	13	
