concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Polytech	Polytech Nantes - Ã‰Lectronique Et Technologies Numériques										4	0.0	50.0	1064	1067	3
Concours Polytech	Polytech Nantes - Ã‰Nergie Électrique										3	0.0	33.3	978	991	2
Concours Polytech	Polytech Nantes - Génie Civil										2	50.0	0.0	745	745	3
Concours Polytech	Polytech Nantes - Informatique										3	0.0	0.0	649	678	3
Concours Polytech	Polytech Nantes - Thermique, Ã‰Nergétique										5	0.0	60.0	562	626	3
Concours Polytech	Polytech Nice-Sophia - Ã‰Lectronique										3	0.0	33.3	1025	985	3
Concours Polytech	Polytech Nice-Sophia - Génie De L'Eau										1	100.0	0.0	1156	1156	4
Concours Polytech	Polytech Nice-Sophia - Informatique										5	0.0	20.0	982	821	3
Concours Polytech	Polytech Orléans - Génie Civil Et Géo-Environnement										5	40.0	60.0	1107	1022	4
Concours Polytech	Polytech Orléans - Génie Industriel										1	0.0	0.0	1224	1224	6
Concours Polytech	Polytech Orléans - Innovation En Conception Et Matériaux										3	0.0	0.0	1193	1034	6
Concours Polytech	Polytech Orléans - Technologies Pour L'Ã‰Nergie, L'Aérospatial Et La Motorisation										4	0.0	25.0	822	716	4
Concours Polytech	Polytech Orléans - Génie Physique Et Systèmes Embarqués										3	0.0	33.3	1071	1049	3
Concours Polytech	Polytech Sorbonne - Electronique Et Informatique										1	0.0	0.0	1003	1003	2
Concours Polytech	Polytech Sorbonne - Robotique										2	0.0	50.0	866	866	3
Concours Polytech	Polytech Tours - Génie De L'Aménagement Et De L'Environnement										4	50.0	25.0	1216	1145	4
Concours Polytech	Polytech Tours - Mécanique, Conception De Systèmes										7	14.3	14.3	1093	1121	4
Concours Polytech	Sup Galilée Villetaneuse										3	0.0	33.3	1166	1182	5
Concours Polytech	Concours_Polytech	1943	14.1	21.5	1430	12.3	23.8	1246	11.7	25.0	142					176
Autres Ecoles	Ece Paris	570	14.7	20.2	505	14.7	21.4	176	19.3	18.8	14	14.3	14.3	124	120	20
Autres Ecoles	Ecole De L'Air Base	369	11.4	23.3	90	6.7	27.8	3	0.0	33.3	1	0.0	0.0	3	3	1
Autres Ecoles	Ecole De L'Air Méca	377	11.9	24.1	90	5.6	27.8	3	0.0	33.3	0	0.0	0.0	0	0	0
Autres Ecoles	Ecole De L'Air Pilote	397	11.1	24.2	103	5.8	28.2	4	0.0	25.0	1	0.0	0.0	1	1	1
Autres Ecoles	Imt Lille Douai En Partenariat Ispa	265	18.5	20.0	179	16.8	23.5	22	31.8	18.2	7	42.9	28.6	12	12	10
Autres Ecoles	Efrei Paris	510	12.2	16.7	471	11.9	17.2	102	14.7	4.9	12	8.3	0.0	63	55	30
Autres Ecoles	Ensm Site De Nantes	222	16.7	20.7	140	16.4	25.7	78	16.7	19.2	6	33.3	16.7	66	62	24
Autres Ecoles	Eigsi La Rochelle	366	19.1	19.7	296	18.6	21.6	136	18.4	26.5	25	20.0	12.0	115	106	20
Autres Ecoles	Eil Côte D'Opale - Calais (Informatique)										6	33.3	16.7	70	70	10
Autres Ecoles	Eil Côte D'Opale - Longuenesse (Génie Industriel)										6	0.0	0.0	92	91	20
Autres Ecoles	Concours_Eil_Côte_D'Opale_Longuenesse_Calais	290	19.3	16.9	261	19.2	17.6	103	21.4	15.5	12					30
Autres Ecoles	Elisa Aérospace Saint Quentin (80)	287	16.4	17.8	78	12.8	23.1	31	16.1	25.8	0	0.0	0.0	0	0	8
Autres Ecoles	Ensait Roubaix										16	37.5	37.5	44	42	15
Autres Ecoles	Ensait Roubaix - Formation En Alternance										1	0.0	0.0	31	31	1
Autres Ecoles	Concours_Ensait_Roubaix	386	22.0	24.6	231	18.6	30.7	58	27.6	36.2	17					16
Autres Ecoles	Ensil Limoges Mécatronique	309	16.5	22.0	199	12.6	19.1	55	12.7	12.7	6	0.0	0.0	11	9	4
Autres Ecoles	Ensisa Mulhouse Automatique Et Systèmes Embarqués										5	20.0	0.0	61	60	6
Autres Ecoles	Ensisa Mulhouse Informatique Et Réseaux										5	20.0	0.0	59	50	6
Autres Ecoles	Ensisa Mulhouse Mécanique										7	28.6	28.6	22	29	9
Autres Ecoles	Ensisa Mulhouse Textile Et Fibres										4	50.0	50.0	61	57	4
Autres Ecoles	Concours_Ensisa_Mulhouse	393	18.8	21.9	259	17.4	25.9	82	22.0	23.2	21					25
Autres Ecoles	Epf Campus Sceaux	407	19.9	18.4	342	19.6	20.2	210	23.3	25.2	6	33.3	16.7	102	88	4
Autres Ecoles	Lorraine Inp - Enstib	275	18.5	23.6	188	19.1	23.4	70	18.6	24.3	20	10.0	30.0	25	26	18
Autres Ecoles	Epf Campus Troyes										4	0.0	0.0	194	191	10
Autres Ecoles	Epf Campus Montpellier										9	0.0	11.1	111	106	6
Autres Ecoles	Concours_Epf_Sceaux_Troyes_Montpellier	407	19.9	18.4	342	19.6	20.2	210	23.3	25.2	13					16
Autres Ecoles	Esb Nantes	162	18.5	24.1	97	18.6	28.9	24	29.2	25.0	5	0.0	40.0	15	13	10
Autres Ecoles	Esff - Sèvres	284	12.7	21.5	223	11.2	25.1	23	8.7	26.1	9	0.0	22.2	5	5	8
Autres Ecoles	Esiea Paris - Laval	314	13.1	17.5	302	13.6	17.5	107	16.8	17.8	8	25.0	12.5	87	85	20
Autres Ecoles	Esiee Amiens	344	16.6	19.5	249	15.7	21.7	28	28.6	17.9	1	0.0	0.0	28	28	10
Autres Ecoles	Esiee Paris	319	18.2	17.9	270	18.9	18.5	90	21.1	11.1	13	15.4	7.7	59	54	15
Autres Ecoles	Esigelec Rouen	460	17.0	20.4	420	16.7	21.7	136	21.3	20.6	14	14.3	21.4	118	100	30
