concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Concours Polytech Inter-Filière	Polytech Lille - Ingénierie Et Commercialisation Des Systèmes De Mesure										3	33.3	0.0	4698	4625	5
Concours Polytech Inter-Filière	Polytech Lille - Matériaux										3	66.7	0.0	3490	3356	8
Concours Polytech Inter-Filière	Polytech Lille - Mécanique										6	16.7	16.7	3055	2882	10
Concours Polytech Inter-Filière	Polytech Lyon - Génie Biomédical										1	0.0	0.0	2771	2910	4
Concours Polytech Inter-Filière	Polytech Lyon - Informatique										2	0.0	0.0	1334	1421	4
Concours Polytech Inter-Filière	Polytech Lyon - Matériaux										3	33.3	66.7	3576	3528	4
Concours Polytech Inter-Filière	Polytech Lyon - Mathématiques Appliquées Et Modélisation										2	0.0	0.0	2939	2575	4
Concours Polytech Inter-Filière	Polytech Lyon - Mécanique										2	0.0	0.0	2110	1925	4
Concours Polytech Inter-Filière	Polytech Lyon - Systèmes Industriels, Robotique										4	0.0	75.0	3336	3168	4
Concours Polytech Inter-Filière	Polytech Marseille - Génie Biomédical										2	50.0	0.0	3998	3326	9
Concours Polytech Inter-Filière	Polytech Marseille - Génie Civil										7	14.3	0.0	4499	4376	12
Concours Polytech Inter-Filière	Polytech Marseille - Génie Industriel Et Informatique										7	42.9	14.3	3906	3831	8
Concours Polytech Inter-Filière	Polytech Marseille - Informatique										6	50.0	33.3	2930	2959	8
Concours Polytech Inter-Filière	Polytech Marseille - Matériaux										1	0.0	0.0	4867	4780	11
Concours Polytech Inter-Filière	Polytech Marseille - Mécanique, Energétique										6	0.0	16.7	4213	3973	17
Concours Polytech Inter-Filière	Polytech Marseille - Microélectronique,Télécommunications										8	12.5	0.0	4387	4341	8
Concours Polytech Inter-Filière	Polytech Montpellier - Informatique Et Gestion										1	100.0	0.0	3088	3009	3
Concours Polytech Inter-Filière	Polytech Montpellier - Matériaux										1	0.0	0.0	3675	3488	7
Concours Polytech Inter-Filière	Polytech Montpellier - Mécanique Et Interactions										0	0.0	0.0	2027	2027	2
Concours Polytech Inter-Filière	Polytech Montpellier - Microélectronique Et Automatique										2	0.0	0.0	3892	3665	5
Concours Polytech Inter-Filière	Polytech Montpellier - Sciences Et Technologies De L'Eau										0	0.0	0.0	4147	4088	7
Concours Polytech Inter-Filière	Polytech Montpellier Génie Biologique Et Agroalimentaire										1	0.0	0.0	3403	3293	5
Concours Polytech Inter-Filière	Polytech Nancy - Energie, Mécanique, Matériaux, Environnement										5	60.0	0.0	4358	3944	16
Concours Polytech Inter-Filière	Polytech Nancy - Ingénierie De L'Information Et Des Systèmes										8	0.0	12.5	3768	3706	8
Concours Polytech Inter-Filière	Polytech Nancy - Management Opérationnel, Maintenance, Maã®Trise Des Risques										4	50.0	25.0	4887	4821	6
Concours Polytech Inter-Filière	Polytech Nantes - Ã‰Lectronique Et Technologies Numériques										5	40.0	40.0	4413	4219	9
Concours Polytech Inter-Filière	Polytech Nantes - Ã‰Nergie Électrique										4	25.0	50.0	4587	4575	5
Concours Polytech Inter-Filière	Polytech Nantes - Génie Civil										2	50.0	50.0	3628	3646	7
Concours Polytech Inter-Filière	Polytech Nantes - Génie Des Procédés Et Bioprocédés										0	0.0	0.0	2926	3018	2
Concours Polytech Inter-Filière	Polytech Nantes - Informatique										8	12.5	0.0	2769	2627	9
Concours Polytech Inter-Filière	Polytech Nantes - Matériaux										0	0.0	0.0	4284	3788	8
Concours Polytech Inter-Filière	Polytech Nantes - Thermique, Ã‰Nergétique										2	50.0	50.0	4689	4316	7
Concours Polytech Inter-Filière	Polytech Nice-Sophia - Bâtiments										3	66.7	33.3	2684	2631	12
Concours Polytech Inter-Filière	Polytech Nice-Sophia - Ã‰Lectronique										6	16.7	0.0	3748	3434	10
Concours Polytech Inter-Filière	Polytech Nice-Sophia - Génie Biologique										0	0.0	0.0	1659	1454	3
Concours Polytech Inter-Filière	Polytech Nice-Sophia - Génie De L'Eau										2	100.0	0.0	4348	4087	10
Concours Polytech Inter-Filière	Polytech Nice-Sophia - Informatique										11	18.2	27.3	2055	1967	14
Concours Polytech Inter-Filière	Polytech Nice-Sophia - Mathématiques Appliquées, Modélisation										11	27.3	27.3	2758	2706	15
Concours Polytech Inter-Filière	Polytech Orléans - Génie Civil Et Géo-Environnement										3	0.0	33.3	4606	4465	14
Concours Polytech Inter-Filière	Polytech Orléans - Génie Industriel										2	50.0	0.0	4861	4820	7
Concours Polytech Inter-Filière	Polytech Orléans - Génie Physique Et Systèmes Embarqués										4	25.0	25.0	4899	4789	6
Concours Polytech Inter-Filière	Polytech Orléans - Innovation En Conception Et Matériaux										0	0.0	0.0	5189	5168	8
Concours Polytech Inter-Filière	Polytech Orléans - Technologies Pour L'Ã‰Nergie, L'Aérospatial Et La Motorisation										4	50.0	50.0	2709	2544	14
Concours Polytech Inter-Filière	Polytech Paris-Saclay - Electronique, Energie, Systèmes										1	0.0	0.0	3253	2980	6
Concours Polytech Inter-Filière	Polytech Paris-Saclay - Informatique										3	0.0	0.0	1768	1680	2
Concours Polytech Inter-Filière	Polytech Paris-Saclay - Photonique Et Systèmes Optroniques										3	100.0	33.3	4491	4447	5
Concours Polytech Inter-Filière	Polytech Paris-Saclay - Matériaux										1	0.0	0.0	4537	4533	4
Concours Polytech Inter-Filière	Polytech Sorbonne - Electronique Et Informatique										2	0.0	0.0	2387	2416	4
Concours Polytech Inter-Filière	Polytech Sorbonne - Matériaux										2	0.0	50.0	4009	4052	8
Concours Polytech Inter-Filière	Polytech Sorbonne - Mathématiques Appliquées Et Informatique										3	0.0	33.3	656	828	3
Concours Polytech Inter-Filière	Polytech Sorbonne - Robotique										2	0.0	0.0	2785	2497	5
Concours Polytech Inter-Filière	Polytech Sorbonne - Sciences De La Terre										5	20.0	40.0	4804	4475	15
Concours Polytech Inter-Filière	Polytech Tours - Ã‰Lectronique, Ã‰Nergie Électrique										1	0.0	100.0	4745	4525	2
Concours Polytech Inter-Filière	Polytech Tours - Génie De L'Aménagement Et De L'Environnement										1	100.0	0.0	3760	3505	7
Concours Polytech Inter-Filière	Polytech Tours - Informatique										4	0.0	25.0	3425	3203	7
Concours Polytech Inter-Filière	Polytech Tours - Mécanique, Conception De Systèmes										6	16.7	33.3	4123	3969	7
Concours Polytech Inter-Filière	Sup Galilée Villetaneuse										14	14.3	21.4	4532	4265	24
Concours Polytech Inter-Filière	Concours_Polytech_Mp_Pc_Psi	3428	30.3	18.1				2376	31.0	16.9	345					739
